location,population,highest_death_count,highest_total_cases
United States,338289856,1138309,103436829
Brazil,215313504,704659,37721749
India,1417173120,533294,45001384
Russia,144713312,400256,23124717
Mexico,127504120,334752,7692885
United Kingdom,67508936,231324,24804243
Peru,34049588,221727,4522474
Italy,59037472,192554,26257548
Germany,83369840,174979,38437756
France,67813000,167985,38997490
Indonesia,275501344,161918,6813429
Iran,88550568,146633,7623061
Colombia,51874028,142942,6383440
Argentina,45510324,130472,10054576
Spain,47558632,121852,13980340
China,1425887360,121790,99318718
Poland,39857144,119695,6537193
Ukraine,39701744,109918,5520483
South Africa,59893884,102595,4072533
Turkey,85341248,101419,17004677
Japan,123951696,74694,33803572
Romania,19659270,68568,3499607
Philippines,115559008,66736,4173631
Chile,19603736,64497,5288930
Canada,38454328,53297,4716205
Hungary,9967304,48828,2211136
Vietnam,98186856,43206,11624000
Czechia,10493990,42948,4670697
Bulgaria,6781955,38456,1307688
Greece,10384972,37748,5443008
Malaysia,33938216,37202,5131899
Ecuador,18001002,36043,1069139
South Korea,51815808,35934,34571873
Thailand,71697024,34488,4758429
Belgium,11655923,34339,4827188
Pakistan,235824864,30656,1580631
Bangladesh,171186368,29477,2045958
Tunisia,12356116,29423,1153361
Portugal,10270857,27630,5629824
Iraq,44496124,25375,2465545
Sweden,10549349,25078,2722678
Egypt,110990096,24830,516023
Australia,26177410,23342,11629977
Netherlands,17564020,22986,8620051
Austria,8939617,22534,6081287
Bolivia,12224114,22407,1209619
Slovakia,5643455,21167,1868301
Guatemala,17843914,20235,1271070
Paraguay,6780745,19989,735957
Myanmar,54179312,19494,641356
Kazakhstan,19397998,19072,1502857
Croatia,4030361,18438,1276497
Serbia,6871547,18057,2572340
Georgia,3744385,17132,1855289
Sri Lanka,21832150,16883,672606
Bosnia and Herzegovina,3233530,16364,403293
Morocco,37457976,16297,1277342
Jordan,11285875,14122,1746997
Switzerland,8740471,14080,4420546
Israel,9449000,12707,4841756
Moldova,3272993,12150,626652
Nepal,30547586,12031,1003450
Honduras,10432858,11127,474590
Lebanon,5489744,10947,1239904
Azerbaijan,10358078,10356,834050
Finland,5540745,10286,1490937
North Macedonia,2093606,9949,349618
Lithuania,2750058,9739,1340934
Saudi Arabia,36408824,9646,841469
Slovenia,2119843,9467,1346628
Costa Rica,5180836,9428,1238884
Ireland,5023108,9328,1723999
Denmark,5882259,8824,3417017
Armenia,2780472,8769,450873
Panama,4408582,8658,1047727
Cuba,11212198,8530,1115103
Afghanistan,41128772,7956,227885
Uruguay,3422796,7635,1040506
Ethiopia,123379928,7574,501060
Latvia,1850654,7388,976428
Belarus,9534956,7118,994037
Algeria,44903228,6881,271958
Libya,6812344,6437,507269
Puerto Rico,3252412,5938,1252713
Venezuela,28301700,5856,552695
Norway,5434324,5732,1489459
Zimbabwe,16320539,5723,265848
Palestine,5250076,5708,703228
Kenya,54027484,5689,344130
Sudan,46874200,5046,63993
Oman,4576300,4628,399449
Trinidad and Tobago,1531043,4390,191496
Dominican Republic,11228821,4384,667074
El Salvador,6336393,4230,201809
Namibia,2567024,4100,172132
Zambia,20017670,4069,349287
Uganda,47249588,3632,171983
Jamaica,2827382,3610,156468
Albania,2842318,3604,334090
New Zealand,5185289,3445,2400967
Kosovo,1782115,3212,274279
Syria,22125242,3163,57423
Nigeria,218541216,3155,267146
Cambodia,16767851,3056,138945
Estonia,1326064,2902,602478
Botswana,2630300,2801,330360
Malawi,20405318,2686,88986
Montenegro,627082,2654,251280
Kuwait,4268886,2570,666501
United Arab Emirates,9441138,2349,1067030
Mongolia,3398373,2284,1011267
Mozambique,32969520,2249,233654
Yemen,33696612,2159,11945
Cameroon,27914542,1974,125090
Senegal,17316452,1971,89022
Angola,35588996,1936,105978
Singapore,5637022,1872,2657258
Bahrain,1472237,1536,696614
Democratic Republic of Congo,99010216,1468,99181
Rwanda,13776702,1468,133194
Ghana,33475870,1462,171653
Eswatini,1201680,1427,75127
Madagascar,29611718,1425,68358
Suriname,618046,1408,82588
Cyprus,896007,1364,660854
Somalia,17597508,1361,27334
Guyana,808727,1299,73388
Martinique,367512,1104,230354
Mauritius,1299478,1054,309983
Kyrgyzstan,6630621,1024,88908
Guadeloupe,395762,1021,203235
Uzbekistan,34627648,1016,174575
Luxembourg,647601,1000,385445
Mauritania,4736146,997,63774
Reunion,974062,921,494595
Fiji,929769,885,69047
Malta,533293,883,120632
Haiti,11585003,860,34454
Tanzania,65497752,846,43078
Bahamas,409989,844,38084
Cote d'Ivoire,28160548,835,88338
Mali,22593598,743,33162
Lesotho,2305826,709,35836
Qatar,2695131,690,514524
Belize,405285,688,71060
Laos,7529477,671,218891
Papua New Guinea,10142625,670,46864
French Polynesia,306292,649,78653
Barbados,281646,620,110091
Guinea,13859349,468,38563
Cape Verde,593162,417,64477
Guam,171783,417,52075
French Guiana,304568,413,98041
Saint Lucia,179872,410,30150
Burkina Faso,22673764,396,22056
Congo,5970430,389,25196
Gambia,2705995,372,12626
Maldives,523798,316,186694
Niger,26207982,315,9515
New Caledonia,289959,314,80064
Gabon,2388997,307,48992
Curacao,191173,305,45883
Liberia,5302690,294,8090
Aruba,106459,292,44224
Togo,8848700,290,39531
Nicaragua,6948395,245,16061
Grenada,125459,238,19693
Solomon Islands,724272,199,25954
Chad,17723312,194,7698
Djibouti,1120851,189,15690
Mayotte,326113,187,42027
Iceland,372903,186,209286
Equatorial Guinea,1674916,183,17130
Guinea-Bissau,2105580,177,9614
Seychelles,107135,172,50937
Bermuda,64207,165,18860
Benin,13352864,163,28036
Brunei,449002,163,312892
Comoros,836783,161,9109
Jersey,110796,161,66391
Andorra,79843,159,48015
Antigua and Barbuda,93772,146,9106
South Sudan,10913172,138,18368
Timor,1341298,138,23460
United States Virgin Islands,99479,132,25389
Sierra Leone,8605723,126,7766
San Marino,33690,126,24804
Tajikistan,9952789,125,17786
Saint Vincent and the Grenadines,103959,124,9644
Isle of Man,84534,116,38008
Central African Republic,5579148,113,15367
Gibraltar,32677,113,20550
Eritrea,3684041,103,10189
Sint Maarten (Dutch part),44192,92,11051
Liechtenstein,39355,87,21515
Sao Tome and Principe,227393,80,6601
Dominica,72758,74,15798
Guernsey,63329,67,35326
Monaco,36491,67,17109
Micronesia (country),114178,65,26547
British Virgin Islands,31332,64,7305
Saint Kitts and Nevis,47681,46,6607
Saint Martin (French part),31816,46,12324
Bonaire Sint Eustatius and Saba,27052,41,11922
Northern Mariana Islands,49574,41,14318
Turks and Caicos Islands,45726,40,6662
Cayman Islands,68722,37,31472
American Samoa,44295,34,8359
Samoa,222390,31,16778
Faeroe Islands,53117,28,34658
Kiribati,131237,24,5085
Bhutan,782457,21,62697
Greenland,56494,21,11971
Marshall Islands,41593,17,16138
Burundi,12889583,15,54721
Vanuatu,326744,14,12019
Anguilla,15877,12,3904
Tonga,106867,12,16865
Palau,18084,9,6246
Montserrat,4413,8,1403
Wallis and Futuna,11596,8,3550
Saint Barthelemy,10994,5,5507
Cook Islands,17032,2,7168
Saint Pierre and Miquelon,5885,2,3426
Nauru,12691,1,5393
Tuvalu,11335,1,2943
Western Sahara,576005,,
Falkland Islands,3801,,1923
Hong Kong,7488863,,
Macao,695180,,
Niue,1952,,889
Pitcairn,47,,4
North Korea,26069416,,
Saint Helena,5401,,2166
Tokelau,1893,,80
Turkmenistan,6430777,,
Taiwan,23893396,,
Vatican,808,,26
Northern Cyprus,382836,,
England,56550000,,
Northern Ireland,1896000,,
Scotland,5466000,,
Wales,3170000,,
